State,County,Agency Name,Ori,Division Name,Region Name,Region Description,Agency Type Name,NIBRS,NIBRS Start Date,Latitude,Longitude
New Mexico,LUNA,Deming Police Department,NM0160100,Mountain,West,Region IV,City,FALSE,,32.269485,-107.75179
New Mexico,MCKINLEY,McKinley County Sheriff's Office,NM0170000,Mountain,West,Region IV,County,TRUE,2020-11-02T00:00:00.000Z,35.50843,-108.733536
New Mexico,MCKINLEY,Gallup Police Department,NM0170100,Mountain,West,Region IV,City,TRUE,2020-07-02T00:00:00.000Z,35.526714,-108.74098
New Mexico,NOT SPECIFIED,Zuni Tribal,NM0170300,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.573874,-108.255158
New Mexico,NOT SPECIFIED,Ramah Navajo Tribal,NM0170400,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.573874,-108.255158
New Mexico,MORA,Mora County Sheriff's Office,NM0180000,Mountain,West,Region IV,County,FALSE,,35.982841,-104.921898
New Mexico,OTERO,Otero County Sheriff's Office,NM0190000,Mountain,West,Region IV,County,FALSE,,32.588776,-105.781079
New Mexico,OTERO,Alamogordo Police Department,NM0190100,Mountain,West,Region IV,City,FALSE,,32.896988,-105.9556
New Mexico,OTERO,Tularosa Police Department,NM0190200,Mountain,West,Region IV,City,FALSE,,32.588776,-105.781079
New Mexico,OTERO,Cloudcroft Police Department,NM0190300,Mountain,West,Region IV,City,FALSE,,32.588776,-105.781079
New Mexico,QUAY,Quay County Sheriff's Office,NM0200000,Mountain,West,Region IV,County,TRUE,2021-01-02T00:00:00.000Z,35.107018,-103.548071
New Mexico,QUAY,Tucumcari Police Department,NM0200100,Mountain,West,Region IV,City,FALSE,,35.107018,-103.548071
New Mexico,QUAY,Logan Police Department,NM0200200,Mountain,West,Region IV,City,TRUE,2020-01-02T00:00:00.000Z,35.107018,-103.548071
New Mexico,RIO ARRIBA,Rio Arriba County Sheriff's Office,NM0210000,Mountain,West,Region IV,County,FALSE,,36.509669,-106.693983
New Mexico,"RIO ARRIBA, SANTA FE",Espanola Police Department,NM0210100,Mountain,West,Region IV,City,FALSE,,36.509669,-106.693983
New Mexico,NOT SPECIFIED,Jicarilla Apache Tribal,NM0210300,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,36.509669,-106.693983
New Mexico,NOT SPECIFIED,Ohkay Owingeh Tribal,NM0210400,Mountain,West,Region IV,Tribal,FALSE,,36.509669,-106.693983
New Mexico,NOT SPECIFIED,Santa Clara Pueblo,NM0210500,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,36.509669,-106.693983
New Mexico,ROOSEVELT,Roosevelt County Sheriff's Office,NM0220000,Mountain,West,Region IV,County,FALSE,,34.147217,-103.39699
New Mexico,ROOSEVELT,Portales Police Department,NM0220100,Mountain,West,Region IV,City,FALSE,,34.197777,-103.334984
New Mexico,ROOSEVELT,Eastern New Mexico University,NM0220200,Mountain,West,Region IV,University or College,TRUE,2020-01-02T00:00:00.000Z,34.021457,-103.482725
New Mexico,SANDOVAL,Sandoval County Sheriff's Office,NM0230000,Mountain,West,Region IV,County,FALSE,,35.685071,-106.882619
New Mexico,SANDOVAL,Bernalillo Police Department,NM0230100,Mountain,West,Region IV,City,FALSE,,35.685071,-106.882619
New Mexico,SANDOVAL,Cuba Police Department,NM0230200,Mountain,West,Region IV,City,FALSE,,35.685071,-106.882619
New Mexico,SANDOVAL,Corrales Police Department,NM0230300,Mountain,West,Region IV,City,FALSE,,35.22278,-106.616104
New Mexico,"BERNALILLO, SANDOVAL",Rio Rancho Police Department,NM0230600,Mountain,West,Region IV,City,FALSE,,35.268604,-106.634796
New Mexico,SANDOVAL,San Ysidro Police Department,NM0230700,Mountain,West,Region IV,City,FALSE,,35.685071,-106.882619
New Mexico,NOT SPECIFIED,Santa Ana Tribal,NM0230800,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.344135,-106.53136
New Mexico,SAN JUAN,San Juan County Sheriff's Office,NM0240000,Mountain,West,Region IV,County,TRUE,2020-01-02T00:00:00.000Z,36.825977,-108.02076
New Mexico,SAN JUAN,Aztec Police Department,NM0240100,Mountain,West,Region IV,City,TRUE,2020-01-02T00:00:00.000Z,36.822765,-107.9963
New Mexico,SAN JUAN,Farmington Police Department,NM0240200,Mountain,West,Region IV,City,TRUE,2019-09-02T00:00:00.000Z,36.73906,-108.215805
New Mexico,SAN JUAN,Bloomfield Police Department,NM0240300,Mountain,West,Region IV,City,TRUE,2020-01-02T00:00:00.000Z,36.71903,-107.97912
New Mexico,SAN MIGUEL,San Miguel County Sheriff's Office,NM0250000,Mountain,West,Region IV,County,FALSE,,35.476876,-104.803515
New Mexico,SAN MIGUEL,Las Vegas Police Department,NM0250100,Mountain,West,Region IV,City,FALSE,,35.591564,-105.22732
New Mexico,SAN MIGUEL,New Mexico Highlands University,NM0250300,Mountain,West,Region IV,University or College,FALSE,,35.476876,-104.803515
New Mexico,SANTA FE,Santa Fe County Sheriff's Office,NM0260000,Mountain,West,Region IV,County,FALSE,,35.513731,-105.966439
New Mexico,SANTA FE,Santa Fe Police Department,NM0260100,Mountain,West,Region IV,City,FALSE,,35.513731,-105.966439
New Mexico,NOT SPECIFIED,Tesuque Pueblo,NM0260700,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.513731,-105.966439
New Mexico,"BERNALILLO, SANTA FE",Edgewood Police Department,NM0261200,Mountain,West,Region IV,City,FALSE,,35.513731,-105.966439
New Mexico,SIERRA,Sierra County Sheriff's Office,NM0270000,Mountain,West,Region IV,County,TRUE,2020-11-02T00:00:00.000Z,33.119479,-107.188161
New Mexico,SIERRA,Truth or Consequences Police Department,NM0270100,Mountain,West,Region IV,City,FALSE,,33.129433,-107.255806
New Mexico,SOCORRO,Socorro County Sheriff's Office,NM0280000,Mountain,West,Region IV,County,TRUE,2020-01-02T00:00:00.000Z,33.991614,-106.939003
New Mexico,SOCORRO,Socorro Police Department,NM0280100,Mountain,West,Region IV,City,FALSE,,33.991614,-106.939003
New Mexico,SOCORRO,Magdalena Police Department,NM0280200,Mountain,West,Region IV,City,FALSE,,33.991614,-106.939003
New Mexico,SOCORRO,New Mexico Institute of Mining and Technology,NM0280300,Mountain,West,Region IV,University or College,FALSE,,34.065002,-106.903435
New Mexico,TAOS,Taos County Sheriff's Office,NM0290000,Mountain,West,Region IV,County,FALSE,,36.576529,-105.637986
New Mexico,TAOS,Taos Police Department,NM0290100,Mountain,West,Region IV,City,FALSE,,36.409138,-105.57204
New Mexico,TAOS,Questa Police Department,NM0290200,Mountain,West,Region IV,City,FALSE,,36.576529,-105.637986
New Mexico,TAOS,Red River Police Department,NM0290300,Mountain,West,Region IV,City,FALSE,,36.576529,-105.637986
New Mexico,NOT SPECIFIED,Taos Pueblo,NM0290400,Mountain,West,Region IV,Tribal,FALSE,2021-01-01T00:00:00.000Z,36.576529,-105.637986
New Mexico,TAOS,Taos Ski Valley Police Department,NM0290500,Mountain,West,Region IV,City,FALSE,,36.576529,-105.637986
New Mexico,TORRANCE,Torrance County Sheriff's Office,NM0300000,Mountain,West,Region IV,County,FALSE,,34.554466,-105.887952
New Mexico,TORRANCE,Estancia Police Department,NM0300200,Mountain,West,Region IV,City,FALSE,,34.554466,-105.887952
New Mexico,TORRANCE,Moriarty Police Department,NM0300300,Mountain,West,Region IV,City,FALSE,,34.554466,-105.887952
New Mexico,TORRANCE,Mountainair Police Department,NM0300400,Mountain,West,Region IV,City,FALSE,,34.554466,-105.887952
New Mexico,UNION,Union County Sheriff's Office,NM0310000,Mountain,West,Region IV,County,FALSE,,36.488085,-103.475723
New Mexico,UNION,Clayton Police Department,NM0310100,Mountain,West,Region IV,City,FALSE,,36.452724,-103.186264
New Mexico,VALENCIA,Valencia County Sheriff's Office,NM0320000,Mountain,West,Region IV,County,TRUE,2021-01-02T00:00:00.000Z,34.71684,-106.806582
New Mexico,VALENCIA,Belen Police Department,NM0320100,Mountain,West,Region IV,City,FALSE,,34.660484,-106.774734
New Mexico,VALENCIA,Los Lunas Police Department,NM0320300,Mountain,West,Region IV,City,TRUE,2021-01-02T00:00:00.000Z,34.71684,-106.806582
New Mexico,VALENCIA,Bosque Farms Police Department,NM0320700,Mountain,West,Region IV,City,FALSE,,34.71684,-106.806582
New Mexico,VALENCIA,Peralta,NM032100X,Mountain,West,Region IV,City,FALSE,,,
New Mexico,CIBOLA,Cibola County Sheriff's Office,NM0330000,Mountain,West,Region IV,County,FALSE,,35.15374,-107.853935
New Mexico,CIBOLA,Grants Police Department,NM0330100,Mountain,West,Region IV,City,FALSE,,34.93205,-108.000255
New Mexico,CIBOLA,Milan Police Department,NM0330200,Mountain,West,Region IV,City,FALSE,,34.93205,-108.000255
New Mexico,NOT SPECIFIED,Laguna Tribal,NM0330300,Mountain,West,Region IV,Tribal,TRUE,2021-03-01T00:00:00.000Z,34.93205,-108.000255
New Mexico,NOT SPECIFIED,Acoma Tribal,NM0330400,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,34.93205,-108.000255
New Mexico,NOT SPECIFIED,Pojoaque Tribal,NMDI02200,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.884163,-106.01543
New Mexico,NOT SPECIFIED,Jemez Pueblo,NMDI02300,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.685071,-106.882619
New Mexico,NOT SPECIFIED,Northern Pueblos Agency,NMDI05000,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.513731,-105.966439
New Mexico,NOT SPECIFIED,Southern Pueblos Agency,NMDI05100,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.054002,-106.669064
New Mexico,NOT SPECIFIED,Isleta Tribal,NMDI05700,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.054002,-106.669064
New Mexico,NOT SPECIFIED,Mescalero Tribal,NMDI07000,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,35.054002,-106.669064
New Mexico,NOT SPECIFIED,Zia Pueblo,NMDI08300,Mountain,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,,
New Mexico,UNMAPPED COUNTY,New Mexico State Police,NMNSP0000,Mountain,West,Region IV,State Police,FALSE,,35.513731,-105.966439
