State,County,Agency Name,Ori,Division Name,Region Name,Region Description,Agency Type Name,NIBRS,NIBRS Start Date,Latitude,Longitude
Texas,LAMB,Littlefield Police Department,TX1400300,West South Central,South,Region III,City,TRUE,2017-01-01T00:00:00.000Z,34.068861,-102.348018
Texas,LAMB,Olton Police Department,TX1400400,West South Central,South,Region III,City,FALSE,,34.068861,-102.348018
Texas,LAMB,Sudan Police Department,TX1400500,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,34.068861,-102.348018
Texas,LAMPASAS,Lampasas County Sheriff's Office,TX1410000,West South Central,South,Region III,County,TRUE,2019-07-01T00:00:00.000Z,31.196731,-98.240889
Texas,LAMPASAS,Lampasas Police Department,TX1410100,West South Central,South,Region III,City,TRUE,2016-09-01T00:00:00.000Z,31.196731,-98.240889
Texas,LAMPASAS,Lometa Police Department,TX1410600,West South Central,South,Region III,City,FALSE,,31.196731,-98.240889
Texas,LAMPASAS,Kempner Police Department,TX1410800,West South Central,South,Region III,City,TRUE,2020-07-01T00:00:00.000Z,31.196731,-98.240889
Texas,LA SALLE,La Salle County Sheriff's Office,TX1420000,West South Central,South,Region III,County,TRUE,2020-12-01T00:00:00.000Z,28.351098,-99.096774
Texas,LA SALLE,Encinal Police Department,TX1420600,West South Central,South,Region III,City,FALSE,,28.351098,-99.096774
Texas,LAVACA,Lavaca County Sheriff's Office,TX1430000,West South Central,South,Region III,County,TRUE,2012-01-01T00:00:00.000Z,29.382578,-96.923633
Texas,LAVACA,Hallettsville Police Department,TX1430100,West South Central,South,Region III,City,TRUE,2017-03-01T00:00:00.000Z,29.443789,-96.94298
Texas,LAVACA,Shiner Police Department,TX1430200,West South Central,South,Region III,City,FALSE,,29.382578,-96.923633
Texas,"DEWITT, LAVACA",Yoakum Police Department,TX1430300,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,29.382578,-96.923633
Texas,LAVACA,Moulton Police Department,TX1431000,West South Central,South,Region III,City,TRUE,2018-06-01T00:00:00.000Z,29.382578,-96.923633
Texas,LEE,Lee County Sheriff's Office,TX1440000,West South Central,South,Region III,County,TRUE,2019-09-01T00:00:00.000Z,30.321105,-96.976365
Texas,LEE,Giddings Police Department,TX1440100,West South Central,South,Region III,City,TRUE,2019-05-01T00:00:00.000Z,30.18012,-96.937515
Texas,LEE,Lexington Police Department,TX1440200,West South Central,South,Region III,City,FALSE,,30.321105,-96.976365
Texas,LEON,Leon County Sheriff's Office,TX1450000,West South Central,South,Region III,County,TRUE,2018-01-01T00:00:00.000Z,31.300493,-95.995622
Texas,LEON,Buffalo,TX1450100,West South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,,
Texas,"LEON, MADISON",Normangee Police Department,TX1450900,West South Central,South,Region III,City,FALSE,2015-08-01T00:00:00.000Z,31.300493,-95.995622
Texas,LEON,Jewett Police Department,TX1451000,West South Central,South,Region III,City,FALSE,,31.300493,-95.995622
Texas,LIBERTY,Liberty County Sheriff's Office,TX1460000,West South Central,South,Region III,County,TRUE,2018-01-01T00:00:00.000Z,30.162189,-94.822682
Texas,"LIBERTY, MONTGOMERY",Cleveland Police Department,TX1460100,West South Central,South,Region III,City,FALSE,,30.342987,-95.07747
Texas,LIBERTY,Dayton Police Department,TX1460300,West South Central,South,Region III,City,TRUE,2017-05-01T00:00:00.000Z,30.046,-94.88714
Texas,LIBERTY,Liberty Police Department,TX1460400,West South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,30.162189,-94.822682
Texas,LIMESTONE,Limestone County Sheriff's Office,TX1470000,West South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,31.51512,-96.51308
Texas,LIMESTONE,Groesbeck Police Department,TX1470200,West South Central,South,Region III,City,TRUE,2018-07-01T00:00:00.000Z,31.547543,-96.593623
Texas,LIMESTONE,Mexia Police Department,TX1470300,West South Central,South,Region III,City,TRUE,2018-01-01T00:00:00.000Z,31.547543,-96.593623
Texas,LIMESTONE,Independent School District: Mexia,TX1471100,West South Central,South,Region III,Other,FALSE,,31.6865,-96.476814
Texas,LIPSCOMB,Lipscomb County Sheriff's Office,TX1480000,West South Central,South,Region III,County,TRUE,2019-12-01T00:00:00.000Z,36.2802,-100.272683
Texas,LIVE OAK,Live Oak County Sheriff's Office,TX1490000,West South Central,South,Region III,County,FALSE,,28.351535,-98.126961
Texas,LIVE OAK,Three Rivers Police Department,TX1490100,West South Central,South,Region III,City,FALSE,2019-07-01T00:00:00.000Z,28.351535,-98.126961
Texas,LIVE OAK,George West Police Department,TX1490700,West South Central,South,Region III,City,FALSE,,28.351535,-98.126961
