State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
New Mexico,SIERRA,Sierra County Sheriff's Office,NM0270000,208,89,119,254,101,153,6,2,4,0,0,0,13,3,10,6,3,3,177,17,160,46,9,37,280,32,248,24,5,19,503,58,445,33.119479,-107.188161
New Mexico,SIERRA,Truth or Consequences Police Department,NM0270100,210,87,123,237,100,137,13,3,10,0,0,0,16,8,8,5,2,3,277,36,241,69,13,56,811,178,633,4,2,2,1157,227,930,33.129433,-107.255806
New Mexico,SOCORRO,Socorro County Sheriff's Office,NM0280000,152,18,134,170,20,150,3,0,3,0,0,0,6,0,6,2,1,1,139,8,131,68,4,64,233,4,229,8,0,8,440,16,424,33.991614,-106.939003
New Mexico,SOCORRO,Socorro Police Department,NM0280100,390,90,300,423,96,327,2,0,2,0,0,0,3,0,3,3,1,2,625,74,551,138,16,122,1876,359,1517,2,0,2,2639,449,2190,33.991614,-106.939003
New Mexico,SOCORRO,Magdalena Police Department,NM0280200,40,1,39,43,1,42,2,0,2,0,0,0,1,0,1,1,0,1,46,0,46,8,1,7,109,1,108,0,0,0,163,2,161,33.991614,-106.939003
New Mexico,SOCORRO,New Mexico Institute of Mining and Technology,NM0280300,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,23,2,21,7,1,6,239,17,222,0,0,0,269,20,249,34.065002,-106.903435
New Mexico,TAOS,Taos County Sheriff's Office,NM0290000,422,158,264,470,173,297,0,0,0,0,0,0,11,4,7,8,2,6,473,138,335,166,38,128,282,77,205,6,1,5,921,253,668,36.576529,-105.637986
New Mexico,TAOS,Taos Police Department,NM0290100,263,58,205,321,66,255,11,2,9,0,0,0,5,0,5,2,1,1,606,42,564,160,15,145,2215,415,1800,8,0,8,2981,472,2509,36.409138,-105.57204
New Mexico,TAOS,Questa Police Department,NM0290200,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,34,7,27,1,0,1,40,7,33,36.576529,-105.637986
New Mexico,TAOS,Red River Police Department,NM0290300,24,12,12,31,15,16,0,0,0,0,0,0,0,0,0,2,1,1,25,11,14,3,1,2,73,33,40,1,0,1,101,45,56,36.576529,-105.637986
New Mexico,NOT SPECIFIED,Taos Pueblo,NM0290400,35,1,34,41,1,40,3,0,3,0,0,0,0,0,0,1,0,1,17,0,17,7,0,7,19,0,19,1,0,1,43,0,43,36.576529,-105.637986
New Mexico,TAOS,Taos Ski Valley Police Department,NM0290500,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,17,0,17,0,0,0,24,0,24,36.576529,-105.637986
New Mexico,TORRANCE,Torrance County Sheriff's Office,NM0300000,597,193,404,636,199,437,5,1,4,0,0,0,14,3,11,3,1,2,416,23,393,175,24,151,264,18,246,12,0,12,855,65,790,34.554466,-105.887952
New Mexico,TORRANCE,Estancia Police Department,NM0300200,16,5,11,42,6,36,0,0,0,0,0,0,26,1,25,0,0,0,73,2,71,3,0,3,20,0,20,0,0,0,96,2,94,34.554466,-105.887952
New Mexico,TORRANCE,Moriarty Police Department,NM0300300,19,1,18,32,1,31,0,0,0,0,0,0,0,0,0,0,0,0,131,15,116,52,2,50,226,27,199,3,0,3,409,44,365,34.554466,-105.887952
New Mexico,TORRANCE,Mountainair Police Department,NM0300400,7,1,6,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,6,0,6,18,0,18,1,0,1,45,0,45,34.554466,-105.887952
New Mexico,UNION,Union County Sheriff's Office,NM0310000,34,14,20,41,17,24,1,0,1,0,0,0,0,0,0,3,2,1,48,5,43,16,8,8,36,6,30,4,1,3,100,19,81,36.488085,-103.475723
New Mexico,UNION,Clayton Police Department,NM0310100,28,3,25,28,3,25,2,0,2,0,0,0,0,0,0,0,0,0,16,0,16,1,0,1,54,0,54,0,0,0,71,0,71,36.452724,-103.186264
New Mexico,VALENCIA,Valencia County Sheriff's Office,NM0320000,2901,1001,1900,3130,1026,2104,49,5,44,0,0,0,43,2,41,7,2,5,2208,116,2092,1296,158,1138,2763,133,2630,118,11,107,6267,407,5860,34.71684,-106.806582
New Mexico,VALENCIA,Belen Police Department,NM0320100,1024,342,682,1099,358,741,12,1,11,0,0,0,4,0,4,1,0,1,621,45,576,331,27,304,2065,370,1695,5,1,4,3017,442,2575,34.660484,-106.774734
